uid,year,data_year,country,area,fsw_sizeestimate_region,area.notes,method,PopSize,PopSize_notes,Prevalence,pse,type.of.uncertainty.measure,lower.uncertainty.measure,upper.uncertainty.measure,sample_size,requirement,notes,link,public,UID,title,ISO,adm1_geocode,iso_geocode
Angola2,2013,,Angola,National,Angola,,,NR,,NR,71148,,NR,,,,Link goes to Dominican republic report. title not found on google,http://files.unaids.org/en/media/unaids/contentassets/documents/countryreport/2010/201011_MOT_DominicanRepublic_en.pdf,1,REPORTDR10,HIV modes of transmission model. Analysis of the distribution of new HIV infections in Angola and recommendations for prevention,AGO,Malanje,AGO
Angola3,2015,,Angola,City,Benguela,,census ,,,,3277,NR,NR,NR,NR,"To be a women between 15 and 49 years old, with Angolan nationality, to give writen consent in Portuguese and to agree on testing for HIV and syphilis; to have a valid recruitment coupon and to have had sex in exchange of money or goods in the past 12 months",,,0,,"Reported by the country through the GARPR process / Prevalencia do VIH, factores biologicos e comportamentais da infeccao entre as profissionais do sexo (MTS) em Angola",AGO,Benguela,AGO
Angola3,2015,,Angola,Urban District,Kilamba Kiaxi,,census ,,,,994,NR,NR,NR,NR,"To be a women between 15 and 49 years old, with Angolan nationality, to give writen consent in Portuguese and to agree on testing for HIV and syphilis; to have a valid recruitment coupon and to have had sex in exchange of money or goods in the past 12 months",,,0,,"Reported by the country through the GARPR process / Prevalencia do VIH, factores biologicos e comportamentais da infeccao entre as profissionais do sexo (MTS) em Angola",AGO,Luanda,AGO
Angola3,2015,,Angola,Town,Lobito,,census ,,,,1767,NR,NR,NR,NR,"To be a women between 15 and 49 years old, with Angolan nationality, to give writen consent in Portuguese and to agree on testing for HIV and syphilis; to have a valid recruitment coupon and to have had sex in exchange of money or goods in the past 12 months",,,0,,"Reported by the country through the GARPR process / Prevalencia do VIH, factores biologicos e comportamentais da infeccao entre as profissionais do sexo (MTS) em Angola",AGO,Benguela,AGO
Angola1,2011,,Angola,City,Luanda,,,,,,2160,,,,,,title not found,,0,,Angola: HIV Epidemiologic Country Profile for Key Populations (citations),AGO,Luanda,AGO
Angola4,2016,,Angola,City,Luanda,,,,,,32629,,,,,,title not found,,0,,Reported by the country through the GARPR process,AGO,Luanda,AGO
Angola1,2011,,Angola,City,Luanda,,,,,,45000,,,,,,title not found,,0,,Angola: HIV Epidemiologic Country Profile for Key Populations (citations),AGO,Luanda,AGO
Angola3,2015,,Angola,Town,Viana,,census ,,,,5695,NR,NR,NR,NR,"To be a women between 15 and 49 years old, with Angolan nationality, to give writen consent in Portuguese and to agree on testing for HIV and syphilis; to have a valid recruitment coupon and to have had sex in exchange of money or goods in the past 12 months",,,0,,"Reported by the country through the GARPR process / Prevalencia do VIH, factores biologicos e comportamentais da infeccao entre as profissionais do sexo (MTS) em Angola",AGO,Luanda,AGO
Benin3,2011,,Benin,National,Benin,,NR,NR,,NR,12774,NR,NR,NR,NR,NR,data as reported on the unaids key population atlas from the link on the right. Title not found,http://www.aidsinfoonline.org/kpatlas/document/kp_data_sources.pdf,2,aidsinfoonline link : possible to find but I couldn't initially. Happy to discuss.,CARTOGRAPHIE DES INTERVENTIONS DES ONG A L’ENDROIT DES TRAVAILLEUSES DE SEXE (TS) ET DES PERSONNES PRIVEES DE LIBERTE (PPL),BEN,Borgou,BEN
Benin4,2014,,Benin,National,Benin,,mapping ,,,,14926,NR,NR,NR,NR,Women who have sex in exchange of money or goods,article found in french. translated to english but information on PSE not found ,,0,,"MAPPING DES SITES DE PROSTITUTION ""POINTS CHAUDS"" ET DENOMBREMENT DES TRAVAILLEUSES DE SEXE, DES SERVICES DE SANTE, ONG ET ASSOCIATIONS INTERVENANT DANS LE DOMAINE DE LA LUTTE CONTRE LES IST ET LE VIH/SIDA / Reported by the country through the GARPR process",BEN,Borgou,BEN
